labeler,column,start_date,start_time,end_date,end_time,eat,drink,sleep,chinrest,ride,stand,stand_near_fence,gone,Estrus_stage,Hours_til_estrus
ARIS group 2,"cow-c
(black-pattern)",14/9/2023,6:00:00,15/9/2023,6:00:00,23605,2195,26213,0,0,31678,2603,0,non-estrus,29.17
ARIS group 2,"cow-a
(black)",14/9/2023,12:00:00,15/9/2023,12:00:00,14698,3867,29326,3992,1111,22782,10519,0,estrus,-23.96
ARIS group 2,"cow-b
(white-pattern)",14/9/2023,12:00:00,15/9/2023,12:00:00,11560,3019,41135,0,0,26829,3752,0,non-estrus,No data
ARIS group 2,"cow-c
(black-pattern)",14/9/2023,12:00:00,15/9/2023,12:00:00,20868,4152,31856,0,0,23978,5441,0,non-estrus,23.17
ARIS group 2,"cow-a
(black)",14/9/2023,18:00:00,15/9/2023,18:00:00,20525,4956,32306,680,247,17697,9749,0,estrus,-29.96
ARIS group 2,"cow-b
(white-pattern)",14/9/2023,18:00:00,15/9/2023,18:00:00,19151,3549,38403,0,0,19818,5239,0,non-estrus,No data
ARIS group 2,"cow-c
(black-pattern)",14/9/2023,18:00:00,15/9/2023,18:00:00,25433,4417,34696,0,0,14248,7366,0,non-estrus,17.17
ARIS group 2,"cow-a
(black)",15/9/2023,0:00:00,16/9/2023,0:00:00,22625,5006,32989,664,15,16027,9073,0,non-estrus,No data
ARIS group 2,"cow-b
(white-pattern)",15/9/2023,0:00:00,16/9/2023,0:00:00,20958,3009,40754,0,0,15827,5851,0,non-estrus,No data
ARIS group 2,"cow-c
(black-pattern)",15/9/2023,0:00:00,16/9/2023,0:00:00,24528,4268,34672,0,0,12968,9963,0,non-estrus,11.17
ARIS group 2,"cow-a
(black)",15/9/2023,6:00:00,16/9/2023,6:00:00,22625,4138,24538,664,0,22236,11784,0,non-estrus,No data
ARIS group 2,"cow-b
(white-pattern)",15/9/2023,6:00:00,16/9/2023,6:00:00,20571,3009,32140,0,0,25071,5194,0,non-estrus,No data
ARIS group 2,"cow-c
(black-pattern)",15/9/2023,6:00:00,16/9/2023,6:00:00,24528,4258,26032,0,0,21371,9796,0,pre-estrus,5.17
ARIS group 2,"cow-a
(black)",15/9/2023,12:00:00,16/9/2023,12:00:00,15335,3012,21388,464,0,32522,13676,0,non-estrus,No data
ARIS group 2,"cow-b
(white-pattern)",15/9/2023,12:00:00,16/9/2023,12:00:00,13744,1304,29974,4,0,37182,4189,0,non-estrus,No data
ARIS group 2,"cow-c
(black-pattern)",15/9/2023,12:00:00,16/9/2023,12:00:00,18281,1412,21665,1543,816,35612,7068,0,estrus,-0.83
ARIS group 2,"cow-a
(black)",15/9/2023,18:00:00,16/9/2023,18:00:00,19341,2344,18938,439,0,34197,11048,0,non-estrus,No data
ARIS group 2,"cow-b
(white-pattern)",15/9/2023,18:00:00,16/9/2023,18:00:00,17706,447,27523,4,0,39592,1035,0,non-estrus,No data
ARIS group 2,"cow-c
(black-pattern)",15/9/2023,18:00:00,16/9/2023,18:00:00,18766,694,19405,1570,819,41352,3701,0,estrus,-6.83
ARIS group 2,"cow-a
(black)",16/9/2023,0:00:00,17/9/2023,0:00:00,16785,2203,16377,0,0,40708,10326,0,non-estrus,No data
ARIS group 2,"cow-b
(white-pattern)",16/9/2023,0:00:00,17/9/2023,0:00:00,15356,458,29513,4,0,40645,423,0,non-estrus,No data
ARIS group 2,"cow-c
(black-pattern)",16/9/2023,0:00:00,17/9/2023,0:00:00,16575,783,22234,1570,819,43138,1280,0,non-estrus,-24
ARIS group 2,"cow-a
(black)",16/9/2023,6:00:00,17/9/2023,6:00:00,16785,2203,22568,0,0,36626,6846,0,non-estrus,No data
ARIS group 2,"cow-b
(white-pattern)",16/9/2023,6:00:00,17/9/2023,6:00:00,15356,458,39080,4,0,29957,173,0,non-estrus,No data
ARIS group 2,"cow-c
(black-pattern)",16/9/2023,6:00:00,17/9/2023,6:00:00,16871,999,28780,1570,819,34709,1280,0,non-estrus,No data
ARIS group 2,"cow-a
(black)",16/9/2023,12:00:00,17/9/2023,12:00:00,18120,3634,25611,0,0,30534,6920,0,non-estrus,No data
ARIS group 2,"cow-b
(white-pattern)",16/9/2023,12:00:00,17/9/2023,12:00:00,16334,449,46865,0,0,20572,599,0,non-estrus,No data
ARIS group 2,"cow-c
(black-pattern)",16/9/2023,12:00:00,17/9/2023,12:00:00,18264,1625,35415,27,3,28143,1342,0,non-estrus,No data
ARIS group 2,"cow-a
(black)",16/9/2023,18:00:00,17/9/2023,18:00:00,14889,4385,28120,0,0,32062,6850,0,non-estrus,No data
ARIS group 2,"cow-b
(white-pattern)",16/9/2023,18:00:00,17/9/2023,18:00:00,13152,2095,48986,0,0,21276,797,0,non-estrus,No data
ARIS group 2,"cow-c
(black-pattern)",16/9/2023,18:00:00,17/9/2023,18:00:00,17977,2755,37413,0,0,27453,708,0,non-estrus,No data
ARIS group 2,"cow-a
(black)",17/9/2023,0:00:00,17/9/2023,23:59:59,17079,4673,25559,0,0,31340,6891,0,non-estrus,No data
ARIS group 2,"cow-b
(white-pattern)",17/9/2023,0:00:00,17/9/2023,23:59:59,13070,1723,51317,0,0,18635,797,0,non-estrus,No data
ARIS group 2,"cow-c
(black-pattern)",17/9/2023,0:00:00,17/9/2023,23:59:59,20076,3028,34923,0,0,27268,247,0,non-estrus,No data
ARIS group 3,"cow-a
 (black)",4/1/2024,0:00:00,4/2/2024,0:00:00,19421,242,35085,0,0,16284,15367,0,non-estrus,216
ARIS group 3,"cow-b
 (white-pattern)",4/1/2024,0:00:00,4/2/2024,0:00:00,14979,709,37527,0,0,19046,14138,0,non-estrus,no data
ARIS group 3,"cow-c
 (black-pattern)",4/1/2024,0:00:00,4/2/2024,0:00:00,22502,200,29630,0,0,26143,7924,0,non-estrus,no data
ARIS group 3,"cow-a
 (black)",4/1/2024,6:00:00,4/2/2024,6:00:00,22337,288,32752,0,0,16250,14020,0,non-estrus,210
ARIS group 3,"cow-b
 (white-pattern)",4/1/2024,6:00:00,4/2/2024,6:00:00,14862,624,40155,0,0,17388,12618,0,non-estrus,no data
ARIS group 3,"cow-c
 (black-pattern)",4/1/2024,6:00:00,4/2/2024,6:00:00,24680,2704,29276,0,0,21063,7924,0,non-estrus,no data
ARIS group 3,"cow-a
 (black)",4/1/2024,12:00:00,4/2/2024,12:00:00,28881,1578,32752,0,0,15844,6776,0,non-estrus,204
ARIS group 3,"cow-b
 (white-pattern)",4/1/2024,12:00:00,4/2/2024,12:00:00,25563,1898,37319,0,0,13923,7128,0,non-estrus,no data
ARIS group 3,"cow-c
 (black-pattern)",4/1/2024,12:00:00,4/2/2024,12:00:00,29632,7419,29276,0,0,14481,5023,0,non-estrus,no data
ARIS group 3,"cow-a
 (black)",4/1/2024,18:00:00,4/2/2024,18:00:00,32996,2514,36107,0,0,10690,3940,0,non-estrus,198
ARIS group 3,"cow-b
 (white-pattern)",4/1/2024,18:00:00,4/2/2024,18:00:00,28966,4346,41075,0,0,9230,2630,0,non-estrus,no data
ARIS group 3,"cow-c
 (black-pattern)",4/1/2024,18:00:00,4/2/2024,18:00:00,30563,9425,31848,0,0,12507,1904,0,non-estrus,no data
ARIS group 3,"cow-a
 (black)",4/2/2024,0:00:00,4/3/2024,0:00:00,32143,5493,30295,0,0,14399,4069,0,non-estrus,192
ARIS group 3,"cow-b
 (white-pattern)",4/2/2024,0:00:00,4/3/2024,0:00:00,27871,5388,37472,0,0,12939,2729,0,non-estrus,no data
ARIS group 3,"cow-c
 (black-pattern)",4/2/2024,0:00:00,4/3/2024,0:00:00,29656,11873,29742,0,0,13224,1904,0,non-estrus,no data
ARIS group 3,"cow-a
 (black)",4/2/2024,6:00:00,4/3/2024,6:00:00,28754,5459,33786,0,0,13534,4274,0,non-estrus,186
ARIS group 3,"cow-b
 (white-pattern)",4/2/2024,6:00:00,4/3/2024,6:00:00,27174,5158,38049,0,0,12482,2944,0,non-estrus,no data
ARIS group 3,"cow-c
 (black-pattern)",4/2/2024,6:00:00,4/3/2024,6:00:00,27849,9486,32463,0,0,13673,2336,0,non-estrus,no data
ARIS group 3,"cow-a
 (black)",4/2/2024,12:00:00,4/3/2024,12:00:00,19801,4507,37385,0,0,11734,12735,0,non-estrus,180
ARIS group 3,"cow-b
 (white-pattern)",4/2/2024,12:00:00,4/3/2024,12:00:00,19917,4521,39516,0,0,15793,6415,0,non-estrus,no data
ARIS group 3,"cow-c
 (black-pattern)",4/2/2024,12:00:00,4/3/2024,12:00:00,23556,5393,35315,0,0,18327,3571,0,non-estrus,no data
ARIS group 3,"cow-a
 (black)",4/2/2024,18:00:00,4/3/2024,18:00:00,17580,4666,38545,0,0,12588,12548,0,non-estrus,174
ARIS group 3,"cow-b
 (white-pattern)",4/2/2024,18:00:00,4/3/2024,18:00:00,15348,3747,40183,0,0,17101,9548,0,non-estrus,no data
ARIS group 3,"cow-c
 (black-pattern)",4/2/2024,18:00:00,4/3/2024,18:00:00,21639,5859,35502,0,0,19175,3752,0,non-estrus,no data
ARIS group 3,"cow-a
 (black)",4/3/2024,0:00:00,4/4/2024,0:00:00,17603,2899,41435,0,0,11888,12574,0,non-estrus,168
ARIS group 3,"cow-b
 (white-pattern)",4/3/2024,0:00:00,4/4/2024,0:00:00,15264,3284,43193,0,0,15239,9419,0,non-estrus,no data
ARIS group 3,"cow-c
 (black-pattern)",4/3/2024,0:00:00,4/4/2024,0:00:00,21735,4340,35365,0,0,21095,3864,0,non-estrus,no data
ARIS group 3,"cow-a
 (black)",4/3/2024,6:00:00,4/4/2024,6:00:00,17597,3042,39653,0,0,13480,11564,0,non-estrus,162
ARIS group 3,"cow-b
 (white-pattern)",4/3/2024,6:00:00,4/4/2024,6:00:00,15264,3827,42652,0,0,14389,9204,0,non-estrus,no data
ARIS group 3,"cow-c
 (black-pattern)",4/3/2024,6:00:00,4/4/2024,6:00:00,21250,4975,33321,0,0,22358,3432,0,non-estrus,no data
ARIS group 3,"cow-a
 (black)",4/3/2024,12:00:00,4/4/2024,12:00:00,22746,4733,35988,0,0,14193,8663,0,non-estrus,156
ARIS group 3,"cow-b
 (white-pattern)",4/3/2024,12:00:00,4/4/2024,12:00:00,16285,4261,40171,0,0,14187,11419,0,non-estrus,no data
